SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
340546,2.5759,3.7865,-0.6318,-0.0014,-0.0689,0.0820,0
340713,2.5871,3.7964,-0.7172,-0.0201,-0.0132,0.1237,0
340879,2.5913,3.8125,-0.8476,-0.0448,0.0006,0.1421,0
341046,2.5832,3.8178,-0.9392,-0.0637,-0.0533,0.1396,0
341213,2.5796,3.8008,-0.9534,-0.0139,-0.0184,0.1099,0
341379,2.5885,3.7742,-0.9169,0.0264,-0.0227,0.0513,0
341546,2.5893,3.7681,-0.8746,0.0545,0.0816,0.1139,0
341713,2.5802,3.7769,-0.8815,-0.0018,0.0667,0.1531,0
341879,2.5787,3.7729,-0.8543,0.0054,-0.0260,0.1448,0
342046,2.5785,3.7607,-0.8308,0.0553,-0.0087,0.1263,0
342213,2.5736,3.7464,-0.7996,-0.0655,-0.0273,0.1721,0
342379,2.5688,3.7186,-0.7470,0.0639,-0.0043,0.1081,0
342546,2.5568,3.7097,-0.7318,0.1178,0.0220,0.1056,0
342713,2.5545,3.7121,-0.7296,0.0778,0.0025,0.0969,0
342879,2.5524,3.7210,-0.7020,0.1550,-0.0088,0.0961,0
343046,2.5534,3.7190,-0.6612,0.0191,-0.0057,0.1981,0
343213,2.5422,3.7098,-0.5968,0.0831,0.0396,0.1599,0
343379,2.5198,3.6998,-0.5736,0.0264,0.0010,0.1617,0
343546,2.4911,3.7038,-0.5860,0.0975,-0.0172,0.1123,0
343713,2.4825,3.7076,-0.5681,-0.0130,-0.0803,0.0631,0
343879,2.4835,3.7080,-0.5640,0.0215,0.0133,0.1256,0
344046,2.4701,3.6908,-0.5247,-0.1090,0.0239,0.1606,0
344213,2.4524,3.6648,-0.5107,0.0150,0.0285,0.1155,0
344379,2.4331,3.6550,-0.4777,0.0509,-0.1206,0.0200,0
344546,2.4136,3.6853,-0.5030,0.1391,-0.0234,0.0494,0
344713,2.4109,3.7033,-0.4680,-0.0759,-0.1168,0.0675,0
344879,2.4176,3.6950,-0.4425,-0.0621,-0.0710,0.0778,0
345046,2.4201,3.6778,-0.3911,-0.0194,-0.0554,0.0697,0
345213,2.4287,3.6560,-0.3642,0.0472,-0.0390,0.0700,0
345379,2.4531,3.6518,-0.2945,0.0180,-0.1007,0.0339,0
345546,2.4893,3.6550,-0.2471,0.1987,0.0142,0.0911,0
345713,2.5101,3.6702,-0.2189,-0.0016,0.1814,0.2469,0
345879,2.4983,3.6793,-0.2256,-0.0088,0.0880,0.2453,0
346046,2.4821,3.6658,-0.2104,-0.0957,-0.0269,0.1980,0
346213,2.4616,3.6463,-0.2001,0.1109,-0.0175,0.1222,0
346379,2.4596,3.6420,-0.1611,0.0607,-0.1573,0.0270,0
346546,2.4661,3.6204,-0.1332,-0.1058,0.0288,0.2228,0
