DeviceTag: Xsens DOT 1,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 20,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2024-04-28 18:54:32.890,© Movella Technologies B.V. 2005-2024
SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
502611,0.3635,0.4926,85.7386,-0.0062,-0.0060,0.2668,0
503111,0.4333,0.4051,85.6464,0.0292,-0.0300,0.2866,0
503611,0.4852,0.3315,85.5762,0.0429,-0.0587,0.2756,0
504111,0.5417,0.2585,85.5124,0.0424,-0.0618,0.2760,0
504611,0.6080,0.1741,85.5013,0.0499,-0.0778,0.2662,0
505111,0.6786,0.0868,85.4656,0.0606,-0.1015,0.2764,0
505611,0.7521,-0.0034,85.4281,0.0728,-0.1022,0.3004,0
506111,0.8237,-0.0916,85.3875,0.0790,-0.1230,0.2962,0
506611,0.8914,-0.1888,85.3507,0.1047,-0.1464,0.2718,0
507111,0.9641,-0.2792,85.3176,0.1008,-0.1692,0.2646,0
507612,1.0353,-0.3716,85.2841,0.1225,-0.1723,0.2805,0
508112,1.1073,-0.4607,85.2530,0.1251,-0.2014,0.2905,0
508612,1.1820,-0.5493,85.2169,0.1399,-0.1892,0.2824,0
509112,1.2538,-0.6371,85.1874,0.1670,-0.2187,0.2696,0
509612,1.3272,-0.7244,85.1500,0.1672,-0.2302,0.3020,0
510112,1.3995,-0.8125,85.1149,0.1684,-0.2588,0.2925,0
510612,1.4701,-0.8997,85.0790,0.1835,-0.2870,0.2831,0
511112,1.5390,-0.9862,85.0408,0.1826,-0.2925,0.2867,0
511612,1.6086,-1.0743,85.0039,0.2158,-0.3060,0.2740,0
512112,1.6796,-1.1579,84.9669,0.2032,-0.3243,0.2741,0
512612,1.7484,-1.2434,84.9301,0.2235,-0.3302,0.2678,0
513112,1.8140,-1.3257,84.8953,0.2334,-0.3445,0.2813,0
513612,1.8787,-1.4092,84.8551,0.2498,-0.3593,0.2739,0
514112,1.9435,-1.4918,84.8154,0.2675,-0.3889,0.2695,0
514612,2.0079,-1.5724,84.7769,0.2669,-0.3900,0.2829,0
515112,2.0692,-1.6474,84.7403,0.2771,-0.4090,0.2824,0
515612,2.1300,-1.7218,84.6964,0.3028,-0.4188,0.2471,0
516112,2.1901,-1.7963,84.6543,0.3048,-0.4367,0.2711,0
516612,2.2468,-1.8688,84.6080,0.3086,-0.4601,0.2674,0
517112,2.3028,-1.9384,84.5651,0.3061,-0.4865,0.2391,0
517612,2.3566,-2.0050,84.5184,0.3233,-0.4881,0.2816,0
518112,2.4074,-2.0684,84.4715,0.3139,-0.5035,0.2764,0
518612,2.4554,-2.1294,84.4266,0.3323,-0.5074,0.2912,0
519112,2.5021,-2.1848,84.3764,0.3550,-0.5110,0.2538,0
519612,2.5459,-2.2416,84.3316,0.3379,-0.5259,0.2619,0
520112,2.5876,-2.2926,84.2817,0.3619,-0.5312,0.2572,0
520612,2.6259,-2.3412,84.2327,0.3539,-0.5490,0.2508,0
521112,2.6619,-2.3865,84.1807,0.3584,-0.5580,0.2664,0
521612,2.6962,-2.4290,84.1279,0.3636,-0.5575,0.2289,0
522112,2.7272,-2.4685,84.0751,0.3745,-0.5760,0.2504,0
522612,2.7550,-2.5052,84.0222,0.3790,-0.5731,0.2555,0
523112,2.7822,-2.5354,83.9647,0.3826,-0.5741,0.2669,0
523612,2.8085,-2.5662,83.9088,0.3903,-0.6144,0.2667,0
524112,2.8308,-2.5954,83.8479,0.3900,-0.5907,0.2586,0
524612,2.8510,-2.6180,83.7926,0.3897,-0.6014,0.2360,0
525112,2.8678,-2.6403,83.7340,0.3992,-0.5993,0.2544,0
525612,2.8818,-2.6569,83.6748,0.3948,-0.6211,0.2667,0
526112,2.8938,-2.6724,83.6115,0.4016,-0.6244,0.2665,0
526612,2.9021,-2.6818,83.5517,0.3899,-0.6133,0.2583,0
527112,2.9083,-2.6909,83.4948,0.3813,-0.6145,0.2577,0
527612,2.9119,-2.6979,83.4378,0.3991,-0.6330,0.2632,0
528112,2.9146,-2.6994,83.3748,0.3907,-0.6207,0.2400,0
528612,2.9127,-2.6995,83.3113,0.3926,-0.6317,0.2535,0
529112,2.9113,-2.6956,83.2501,0.3983,-0.6261,0.2845,0
529612,2.9073,-2.6887,83.1880,0.4012,-0.6218,0.2578,0
530112,2.9016,-2.6811,83.1279,0.3866,-0.6159,0.2610,0
530612,2.8923,-2.6709,83.0677,0.3910,-0.6256,0.2661,0
531112,2.8821,-2.6589,83.0154,0.3764,-0.6303,0.2696,0
531612,2.8695,-2.6434,82.9661,0.3816,-0.6229,0.2561,0
532112,2.8568,-2.6270,82.9126,0.3927,-0.6159,0.2600,0
532612,2.8419,-2.6086,82.8650,0.3712,-0.6152,0.2632,0
533112,2.8277,-2.5872,82.8139,0.3714,-0.6126,0.2825,0
533612,2.8099,-2.5642,82.7690,0.3963,-0.6010,0.2405,0
534112,2.7908,-2.5421,82.7253,0.3695,-0.6130,0.2535,0
534612,2.7719,-2.5168,82.6793,0.3705,-0.5947,0.2477,0
535112,2.7528,-2.4895,82.6342,0.3567,-0.6015,0.2875,0
535612,2.7299,-2.4609,82.6000,0.3528,-0.5898,0.2696,0
536112,2.7053,-2.4310,82.5663,0.3705,-0.5892,0.2700,0
536612,2.6833,-2.4012,82.5364,0.3394,-0.5625,0.2712,0
537112,2.6591,-2.3680,82.5022,0.3511,-0.5647,0.2576,0
537612,2.6373,-2.3354,82.4697,0.3522,-0.5667,0.2738,0
538112,2.6108,-2.3027,82.4459,0.3403,-0.5482,0.2583,0
538612,2.5880,-2.2701,82.4193,0.3289,-0.5450,0.2501,0
539112,2.5633,-2.2360,82.4014,0.3401,-0.5555,0.2504,0
539612,2.5388,-2.2012,82.3831,0.3415,-0.5532,0.2568,0
540112,2.5120,-2.1681,82.3631,0.3368,-0.5434,0.2611,0
540612,2.4850,-2.1329,82.3458,0.3162,-0.5169,0.2879,0
541112,2.4578,-2.0972,82.3322,0.3337,-0.5158,0.2612,0
541612,2.4311,-2.0601,82.3222,0.3127,-0.5155,0.2627,0
542112,0.0819,0.5562,82.9594,-0.0282,-0.0084,0.2884,0
542612,0.0820,0.5562,82.9783,-0.0331,0.0014,0.2878,0
543112,0.0839,0.5575,82.9990,-0.0157,-0.0010,0.2750,0
543612,0.0856,0.5572,83.0199,-0.0312,-0.0165,0.2908,0
544112,0.0882,0.5575,83.0382,-0.0248,-0.0196,0.2734,0
544612,0.0898,0.5565,83.0567,-0.0197,-0.0054,0.2859,0
545112,0.0892,0.5575,83.0737,-0.0266,-0.0077,0.2817,0
545612,0.0879,0.5591,83.0908,-0.0225,0.0122,0.2877,0
546112,0.0869,0.5596,83.1099,-0.0295,0.0075,0.2853,0
546612,0.0886,0.5605,83.1264,-0.0167,-0.0072,0.3206,0
547112,0.0897,0.5607,83.1419,-0.0130,-0.0072,0.2987,0
547612,0.0894,0.5605,83.1576,-0.0231,-0.0049,0.3004,0
548112,0.0896,0.5614,83.1727,-0.0220,-0.0057,0.3031,0
548612,0.0883,0.5620,83.1864,-0.0357,-0.0030,0.2815,0
549112,0.0901,0.5634,83.2007,-0.0355,0.0034,0.2887,0
549612,0.0904,0.5631,83.2147,-0.0325,0.0054,0.2947,0
550112,0.0932,0.5627,83.2265,-0.0238,0.0017,0.2933,0
550612,0.0935,0.5654,83.2402,-0.0222,-0.0070,0.2928,0
551112,0.0927,0.5651,83.2530,-0.0282,-0.0009,0.3021,0
551612,0.0930,0.5671,83.2656,-0.0239,0.0212,0.3221,0
552112,0.0941,0.5696,83.2793,-0.0359,-0.0003,0.2878,0
552612,0.0932,0.5706,83.2912,-0.0258,-0.0035,0.2748,0
553112,0.0944,0.5680,83.3013,-0.0292,-0.0023,0.2704,0
553612,0.0969,0.5680,83.3139,-0.0478,0.0063,0.2920,0
554112,0.0986,0.5687,83.3259,-0.0288,-0.0044,0.2725,0
554612,0.1020,0.5696,83.3368,-0.0202,-0.0056,0.2818,0
555112,0.1012,0.5697,83.3493,-0.0339,-0.0003,0.2854,0
555612,0.1033,0.5715,83.3623,-0.0278,-0.0026,0.2694,0
556112,0.1035,0.5699,83.3736,-0.0322,-0.0064,0.2802,0
556612,0.1038,0.5678,83.3843,-0.0181,0.0035,0.2905,0
557112,0.1039,0.5655,83.3940,-0.0252,-0.0075,0.2661,0
557613,0.1071,0.5642,83.4064,-0.0319,-0.0010,0.2830,0
558113,0.1084,0.5631,83.4168,-0.0257,-0.0032,0.2797,0
558613,0.1092,0.5636,83.4268,-0.0170,-0.0007,0.2906,0
559113,0.1083,0.5624,83.4363,-0.0210,-0.0185,0.2769,0
559613,0.1091,0.5616,83.4451,-0.0220,-0.0075,0.2815,0
560113,0.1106,0.5601,83.4557,-0.0357,-0.0166,0.2894,0
560613,0.1111,0.5607,83.4653,-0.0202,-0.0120,0.2860,0
561113,0.1105,0.5620,83.4744,-0.0244,-0.0047,0.2874,0
561613,0.1132,0.5603,83.4837,-0.0229,-0.0002,0.2741,0
562113,0.0945,0.5752,83.5048,-0.0223,-0.0064,0.2697,0
562613,0.0961,0.5777,83.5145,-0.0133,0.0101,0.2976,0
563113,0.0963,0.5767,83.5249,-0.0334,0.0092,0.3061,0
563613,0.0967,0.5769,83.5351,-0.0291,0.0185,0.2963,0
564113,0.0976,0.5784,83.5434,-0.0245,0.0017,0.2843,0
564613,0.0984,0.5768,83.5539,-0.0154,-0.0027,0.2668,0
565113,0.1004,0.5762,83.5625,-0.0220,-0.0118,0.2926,0
565613,0.0998,0.5753,83.5691,-0.0284,0.0024,0.2834,0
566113,0.0988,0.5745,83.5780,-0.0307,-0.0099,0.2566,0
566613,0.0989,0.5749,83.5877,-0.0221,0.0097,0.3002,0
567113,0.0962,0.5736,83.5966,-0.0249,0.0127,0.2580,0
567613,0.0950,0.5731,83.6060,-0.0328,0.0082,0.2955,0
568113,0.0946,0.5703,83.6129,-0.0326,0.0131,0.2827,0
568613,0.0943,0.5689,83.6220,-0.0336,-0.0019,0.3014,0
569113,0.0938,0.5703,83.6305,-0.0050,-0.0005,0.2821,0
569613,0.0948,0.5691,83.6396,-0.0288,0.0191,0.2973,0
570113,0.0949,0.5691,83.6470,-0.0209,-0.0065,0.2819,0
570613,0.0936,0.5713,83.6558,-0.0322,-0.0052,0.2960,0
571113,0.0946,0.5724,83.6644,-0.0119,0.0051,0.2778,0
571613,0.0953,0.5717,83.6708,-0.0253,-0.0027,0.2609,0
572113,0.0955,0.5711,83.6780,-0.0311,0.0018,0.2867,0
572613,0.0955,0.5709,83.6863,-0.0222,0.0035,0.2849,0
573113,0.0941,0.5700,83.6949,-0.0169,0.0109,0.2736,0
573613,0.0933,0.5680,83.7028,-0.0219,0.0032,0.2922,0
574113,0.0942,0.5689,83.7104,-0.0342,0.0030,0.2742,0
574613,0.0929,0.5694,83.7174,-0.0340,0.0036,0.2937,0
575113,0.0916,0.5684,83.7235,-0.0168,0.0009,0.2851,0
575613,0.0902,0.5676,83.7307,-0.0292,0.0119,0.2980,0
576113,0.0921,0.5677,83.7389,-0.0262,-0.0013,0.2807,0
576613,0.0923,0.5685,83.7465,-0.0363,0.0038,0.2711,0
577113,0.0926,0.5675,83.7530,-0.0247,0.0111,0.2903,0
577613,0.0932,0.5677,83.7591,-0.0353,-0.0071,0.2954,0
578113,0.0945,0.5672,83.7654,-0.0286,0.0096,0.2757,0
578613,0.0975,0.5679,83.7751,-0.0239,0.0034,0.2934,0
579113,0.0958,0.5661,83.7826,-0.0238,0.0023,0.2662,0
579613,0.0950,0.5656,83.7886,-0.0268,-0.0082,0.2860,0
580113,0.0942,0.5656,83.7951,-0.0243,-0.0034,0.2765,0
580613,0.0944,0.5669,83.8020,-0.0264,-0.0088,0.2835,0
581113,0.0947,0.5671,83.8089,-0.0358,-0.0015,0.2915,0
581613,0.0942,0.5678,83.8145,-0.0174,-0.0029,0.2822,0
582113,0.1112,0.5911,83.8343,-0.0067,0.0168,0.2994,0
582613,0.1114,0.5899,83.8429,-0.0098,0.0147,0.3006,0
583113,0.1112,0.5903,83.8505,-0.0163,-0.0009,0.3035,0
583613,0.1124,0.5887,83.8584,-0.0240,-0.0017,0.2980,0
584113,0.1131,0.5878,83.8663,-0.0218,-0.0050,0.3015,0
584613,0.1134,0.5857,83.8739,-0.0249,0.0036,0.2973,0
585113,0.1125,0.5849,83.8819,-0.0140,0.0002,0.2819,0
585613,0.1120,0.5855,83.8886,-0.0300,-0.0001,0.3067,0
586113,0.1116,0.5857,83.8966,-0.0336,-0.0155,0.3007,0
586613,0.1092,0.5847,83.9023,-0.0194,-0.0063,0.2976,0
587113,0.1098,0.5865,83.9100,-0.0250,-0.0178,0.2920,0
587613,0.1098,0.5874,83.9180,-0.0208,0.0120,0.3031,0
588113,0.1096,0.5854,83.9245,-0.0288,0.0028,0.2901,0
588613,0.1106,0.5875,83.9318,-0.0182,-0.0109,0.2919,0
589113,0.1112,0.5883,83.9395,-0.0142,0.0006,0.3042,0
589613,0.1100,0.5897,83.9476,-0.0305,-0.0082,0.2845,0
590113,0.1108,0.5886,83.9524,-0.0225,0.0003,0.2887,0
590613,0.1096,0.5888,83.9587,-0.0214,0.0047,0.2906,0
591113,0.1093,0.5882,83.9629,-0.0179,0.0071,0.2852,0
591613,0.1091,0.5889,83.9681,-0.0295,-0.0034,0.2883,0
592113,0.1095,0.5886,83.9743,-0.0000,-0.0107,0.2866,0
592613,0.1104,0.5877,83.9793,-0.0200,-0.0032,0.2947,0
593113,0.1116,0.5883,83.9866,-0.0058,0.0169,0.2873,0
593613,0.1120,0.5862,83.9899,-0.0054,-0.0142,0.2815,0
594113,0.1118,0.5874,83.9974,-0.0201,-0.0028,0.2939,0
594613,0.1125,0.5871,84.0051,-0.0237,0.0027,0.3005,0
595113,0.1120,0.5869,84.0118,-0.0267,-0.0026,0.2846,0
595613,0.1115,0.5856,84.0185,-0.0173,0.0046,0.2963,0
596113,0.1137,0.5859,84.0244,-0.0192,0.0037,0.2803,0
596613,0.1135,0.5839,84.0309,-0.0280,-0.0002,0.2750,0
597113,0.1162,0.5847,84.0363,-0.0201,-0.0044,0.2850,0
597613,0.1163,0.5833,84.0423,-0.0298,0.0118,0.2926,0
598113,0.1164,0.5837,84.0503,-0.0117,-0.0054,0.3169,0
598613,0.1163,0.5841,84.0558,-0.0307,0.0075,0.2751,0
599113,0.1181,0.5855,84.0616,-0.0110,-0.0054,0.3056,0
599613,0.1177,0.5874,84.0670,-0.0189,-0.0241,0.2800,0
600113,0.1179,0.5883,84.0718,-0.0313,0.0111,0.3093,0
600613,0.1200,0.5883,84.0780,-0.0243,0.0051,0.2708,0
601113,0.1196,0.5874,84.0833,-0.0285,-0.0022,0.2737,0
601613,0.1213,0.5862,84.0885,-0.0188,0.0002,0.3111,0
602113,0.1197,0.5947,84.0913,-0.0199,0.0054,0.2711,0
602613,0.1187,0.5958,84.0977,-0.0123,-0.0129,0.3121,0
603113,0.1165,0.5962,84.1027,-0.0211,0.0107,0.2752,0
603613
