SampleTimeFine;Euler_X;Euler_Y;Euler_Z
0;0,2811;-0,0535;0,9013
1;0,2794;-0,0542;0,8999
2;0,2798;-0,0536;0,8994
3;0,2802;-0,0534;0,9007
4;0,2791;-0,0516;0,9015
5;0,2788;-0,0498;0,9026
6;0,2808;-0,0540;0,9034
7;0,2804;-0,0533;0,9029
8;0,2788;-0,0540;0,9041
9;0,2792;-0,0546;0,9044
10;0,2791;-0,0550;0,9036
11;0,2806;-0,0543;0,9031
12;0,2801;-0,0543;0,9029
13;0,2815;-0,0551;0,9025
14;0,2818;-0,0553;0,9041
15;0,2815;-0,0597;0,9047
16;0,2831;-0,0594;0,9047
17;0,2849;-0,0594;0,9037
18;0,2853;-0,0609;0,9024
19;0,2857;-0,0614;0,9016
20;0,2873;-0,0613;0,9015
21;0,2870;-0,0626;0,9034
22;0,2876;-0,0640;0,9040
23;0,2872;-0,0644;0,9041
24;0,2893;-0,0640;0,9054
25;0,2885;-0,0645;0,9046
26;0,2896;-0,0606;0,9053
27;0,2898;-0,0598;0,9059
28;0,2879;-0,0588;0,9067
29;0,2867;-0,0597;0,9066
30;0,2882;-0,0623;0,9072
31;0,2889;-0,0619;0,9084
32;0,2879;-0,0623;0,9079
33;0,2847;-0,0615;0,9073
34;0,2839;-0,0615;0,9083
35;0,2840;-0,0612;0,9104
36;0,2816;-0,0604;0,9121
37;0,2808;-0,0618;0,9116
38;0,2822;-0,0599;0,9128
39;0,2827;-0,0595;0,9126
40;0,2827;-0,0599;0,9125
41;0,2828;-0,0557;0,9132
42;0,2824;-0,0538;0,9109
43;0,2829;-0,0550;0,9130
44;0,2831;-0,0558;0,9113
45;0,2834;-0,0549;0,9089
46;0,2859;-0,0552;0,9101
47;0,2871;-0,0569;0,9091
48;0,2878;-0,0561;0,9089
49;0,2868;-0,0570;0,9089
50;0,2870;-0,0564;0,9074
51;0,2876;-0,0570;0,9071
52;0,2886;-0,0578;0,9080
53;0,2902;-0,0588;0,9078
54;0,2899;-0,0583;0,9076
55;0,2915;-0,0583;0,9095
56;0,2906;-0,0563;0,9126
57;0,2900;-0,0556;0,9131
58;0,2889;-0,0535;0,9151
59;0,2891;-0,0521;0,9120
60;0,2897;-0,0516;0,9117
61;0,2910;-0,0509;0,9130
62;0,2894;-0,0485;0,9141
63;0,2903;-0,0469;0,9120
64;0,2915;-0,0467;0,9106
